Samples,Day,Controller,Box,duration_d,Abs_Cpy_g_Wet
E01,0,Adrian's Farm-House 2,1,0,7317831639
E02,0,Adrian's Farm-House 2,2,0,6769352621
E03,0,Adrian's Farm-House 2,3,0,7911039532
E04,0,Adrian's Farm-House 3,1,0,7649739221
E05,0,Adrian's Farm-House 3,2,0,8011245653
E06,0,Adrian's Farm-House 3,3,0,4796771861
E07,0,Adrian's Farm-House 4,1,0,8664628442
E08,0,Adrian's Farm-House 4,2,0,8364323259
E09,0,Adrian's Farm-House 4,3,0,12182847406
E10,2,Adrian's Farm-House 2,1,1.715972222,5597570779
E11,2,Adrian's Farm-House 2,2,1.715972222,7977005430
E12,2,Adrian's Farm-House 2,3,1.715972222,9392125544
E13,2,Adrian's Farm-House 3,1,1.715972222,11511346020
E14,2,Adrian's Farm-House 3,2,1.715972222,9812328917
E15,2,Adrian's Farm-House 3,3,1.715972222,7707550639
E16,2,Adrian's Farm-House 4,1,1.715972222,13328790723
E17,2,Adrian's Farm-House 4,2,1.715972222,13528710131
E18,2,Adrian's Farm-House 4,3,1.715972222,18400517679
E19,4,Adrian's Farm-House 2,1,3.8125,5671332452
E20,4,Adrian's Farm-House 2,2,3.8125,10113995772
E21,4,Adrian's Farm-House 2,3,3.8125,4514238644
E22,4,Adrian's Farm-House 3,1,3.8125,1.4839E+11
E23,4,Adrian's Farm-House 3,2,3.8125,99577984876
E24,4,Adrian's Farm-House 3,3,3.8125,98275718692
E25,4,Adrian's Farm-House 4,1,3.8125,1.52884E+11
E26,4,Adrian's Farm-House 4,2,3.8125,1.39491E+11
E27,4,Adrian's Farm-House 4,3,3.8125,1.40293E+11
E28,6,Adrian's Farm-House 2,1,5.616666667,12396511972
E29,6,Adrian's Farm-House 2,2,5.616666667,17727309460
E30,6,Adrian's Farm-House 2,3,5.616666667,14855570319
E31,6,Adrian's Farm-House 3,1,5.616666667,1.33458E+11
E32,6,Adrian's Farm-House 3,2,5.616666667,1.20737E+11
E33,6,Adrian's Farm-House 3,3,5.616666667,1.12823E+11
E34,6,Adrian's Farm-House 4,1,5.616666667,1.26038E+11
E35,6,Adrian's Farm-House 4,2,5.616666667,1.34159E+11
E36,6,Adrian's Farm-House 4,3,5.616666667,1.29524E+11
