"Controller","duration_d.y","value"
"all",0,1.01
"all",0,1.44096385542169
"all",0,1.24
"all",0,0.537096774193548
"Adrian's Farm-House 2",1.71597222222222,4.07407407407407
"Adrian's Farm-House 2",1.71597222222222,5.16129032258065
"Adrian's Farm-House 2",1.71597222222222,6.63565891472868
"Adrian's Farm-House 3",1.71597222222222,7.76363636363636
"Adrian's Farm-House 3",1.71597222222222,9.06976744186047
"Adrian's Farm-House 3",1.71597222222222,9.21333333333333
"Adrian's Farm-House 4",1.71597222222222,10.4684684684685
"Adrian's Farm-House 4",1.71597222222222,13.6385542168675
"Adrian's Farm-House 4",1.71597222222222,14.2413793103448
"Adrian's Farm-House 2",3.8125,34.4234234234234
"Adrian's Farm-House 2",3.8125,37.95
"Adrian's Farm-House 2",3.8125,32.6170212765958
"Adrian's Farm-House 3",3.8125,44.24
"Adrian's Farm-House 3",3.8125,45.9677419354839
"Adrian's Farm-House 3",3.8125,41.8378378378378
"Adrian's Farm-House 4",3.8125,36.0625
"Adrian's Farm-House 4",3.8125,28.8
"Adrian's Farm-House 4",3.8125,31.7818181818182
"Adrian's Farm-House 2",5.61666666666667,65.2564102564103
"Adrian's Farm-House 2",5.61666666666667,66.6869565217391
"Adrian's Farm-House 2",5.61666666666667,66.4814814814815
"Adrian's Farm-House 3",5.61666666666667,59.4586466165414
"Adrian's Farm-House 3",5.61666666666667,58.0076335877863
"Adrian's Farm-House 3",5.61666666666667,59.8863636363636
"Adrian's Farm-House 4",5.61666666666667,41.2682926829268
"Adrian's Farm-House 4",5.61666666666667,33.2571428571429
"Adrian's Farm-House 4",5.61666666666667,39.4903846153846
"Adrian's Farm-House 2",6.52,68.3333333333333
"Adrian's Farm-House 2",6.52,69.6761904761905
"Adrian's Farm-House 2",6.52,71.6451612903226
"Adrian's Farm-House 3",6.52,59.4134615384615
"Adrian's Farm-House 3",6.52,58.3965517241379
"Adrian's Farm-House 3",6.52,57.6444444444444
"Adrian's Farm-House 4",6.52,39.9212598425197
"Adrian's Farm-House 4",6.52,37.1238095238095
"Adrian's Farm-House 4",6.52,38.81
"Adrian's Farm-House 1",0,1.01
"Adrian's Farm-House 1",0,1.44096385542169
"Adrian's Farm-House 1",0,1.24
"Adrian's Farm-House 1",0,0.537096774193548
"Adrian's Farm-House 2",0,1.01
"Adrian's Farm-House 2",0,1.44096385542169
"Adrian's Farm-House 2",0,1.24
"Adrian's Farm-House 2",0,0.537096774193548
"Adrian's Farm-House 3",0,1.01
"Adrian's Farm-House 3",0,1.44096385542169
"Adrian's Farm-House 3",0,1.24
"Adrian's Farm-House 3",0,0.537096774193548
"Adrian's Farm-House 4",0,1.01
"Adrian's Farm-House 4",0,1.44096385542169
"Adrian's Farm-House 4",0,1.24
"Adrian's Farm-House 4",0,0.537096774193548
