"Controller","box","duration_d.y","respiration.NH3_mg_total_min"
"Adrian's Farm-House 2","1",0,0
"Adrian's Farm-House 3","1",0,0
"Adrian's Farm-House 4","1",0,0
"Adrian's Farm-House 2","1",1.71597222222222,0
"Adrian's Farm-House 2","2",1.71597222222222,0
"Adrian's Farm-House 2","3",1.71597222222222,0
"Adrian's Farm-House 3","1",1.71597222222222,0
"Adrian's Farm-House 3","2",1.71597222222222,0
"Adrian's Farm-House 3","3",1.71597222222222,0
"Adrian's Farm-House 4","1",1.71597222222222,0
"Adrian's Farm-House 4","2",1.71597222222222,0.01
"Adrian's Farm-House 4","3",1.71597222222222,0.45
"Adrian's Farm-House 2","1",3.8125,0
"Adrian's Farm-House 2","2",3.8125,0
"Adrian's Farm-House 2","3",3.8125,0.09
"Adrian's Farm-House 3","1",3.8125,8.1
"Adrian's Farm-House 3","2",3.8125,12.28
"Adrian's Farm-House 3","3",3.8125,8.14
"Adrian's Farm-House 4","1",3.8125,7.9
"Adrian's Farm-House 4","2",3.8125,8.33
"Adrian's Farm-House 4","3",3.8125,7.24
"Adrian's Farm-House 2","1",5.61666666666667,5.37
"Adrian's Farm-House 2","2",5.61666666666667,5.23
"Adrian's Farm-House 2","3",5.61666666666667,3.88
"Adrian's Farm-House 3","1",5.61666666666667,1.81
"Adrian's Farm-House 3","2",5.61666666666667,2.21
"Adrian's Farm-House 3","3",5.61666666666667,2.74
"Adrian's Farm-House 4","1",5.61666666666667,2.09
"Adrian's Farm-House 4","2",5.61666666666667,2.37
"Adrian's Farm-House 4","3",5.61666666666667,2.76
